tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,codice_isin,codice_fondo,descrizione_fondo,categoria_fondo,controvalore,numero_quote,valore_nav,data_ultimo_nav,valuta_share,filename,data_elaborazione_file,mandato
24,20050045886,20050045886,035,4,130,20050045886,3,            ,FPRI,,,0.0,145.275,0.0,,EUR,24_C_4_130_20240420004328_0_P.csv,2024-04-20,1
24,20050064276,20050064276,035,4,114,20050064276,3,            ,FPRI,,,0.0,294.515,0.0,,EUR,24_C_4_114_20240715085418_0_P.csv,2024-07-13,1
24,20050064683,20050064683,035,4,114,20050064683,3,            ,129A,,,3712.14,3712.14,0.0,,EUR,24_C_4_114_20240715085418_0_P.csv,2024-07-13,1
24,20050033779,20050033779,035,4,659,20050033779,3,            ,FPRI,,,0.0,362.78,0.0,,EUR,24_C_4_659_20240715085711_0_P.csv,2024-07-13,1
24,20005524966,20005524966,035,4,130,20005524966,1,            ,,,,10588.08,1064.129,9.95,2020-11-30,EUR,24_C_4_130_20240719145109_0_P.csv,2024-07-19,1
24,20002533835,20002533835,035,4,659,20002533835,3,            ,FPRI,,,0.0,2953.818,0.0,,EUR,24_C_4_659_20240719150046_0_P.csv,2024-07-19,1
24,20005559304,20005559304,035,4,130,20005559304,1,            ,976,,,23583.54,1816.074,12.986,2024-07-09,EUR,24_C_4_130_20240719145109_0_P.csv,2024-07-19,1
24,20005566587,20005566587,035,4,130,20005566587,1,            ,979,,,1405.46,166.939,8.419,2022-06-20,EUR,24_C_4_130_20240719145109_0_P.csv,2024-07-19,1
24,20005562446,20005562446,035,4,130,20005562446,1,            ,979,,,7584.53,880.898,8.61,2022-04-18,EUR,24_C_4_130_20240719145109_0_P.csv,2024-07-19,1
24,20013000280,20013000280,035,4,130,20013000280,1,            ,,,,38126.98,3176.454,12.003,2021-04-18,EUR,24_C_4_130_20240719145109_0_P.csv,2024-07-19,1
24,20005596328,20005596328,035,4,130,20005596328,1,            ,976,,,23116.97,2020.714,11.44,2022-09-13,EUR,24_C_4_130_20240719145109_0_P.csv,2024-07-19,1
24,20050043290,20050043290,035,4,114,20050043290,5,RBILATT     ,971,LINEA BILANCIATA ATT,FLESSIBILE,0.0,0.0,12.969,2024-08-26,EUR,24_C_4_114_20240902004223_0_P.csv,2024-09-02,1
24,20002500583,20002500583,035,4,114,20002500583,3,RBILATT     ,971,LINEA BILANCIATA ATT,FLESSIBILE,2485.0,195.216,12.67,2024-06-03,EUR,24_C_4_114_20240712141501_0_P.csv,2024-07-12,1
24,20050063955,20050063955,035,4,114,20050063955,4,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,1645.0,76.9,21.391,2024-07-01,EUR,24_C_4_114_20240712141501_0_P.csv,2024-07-12,1
24,20002521907,20002521907,035,4,130,20002521907,4,,152A,,,0.0,0.0,0.0,,EUR,24_C_4_130_20240712141600_0_P.csv,2024-07-12,1
24,20050009972,20050009972,035,4,465,20050009972,4,            ,129A,,,2777.26,2777.26,0.0,,EUR,24_C_4_465_20240712142215_0_P.csv,2024-07-12,1
24,20050028117,20050028117,035,4,114,20050028117,3,            ,FPRI,,,0.0,733.067,0.0,,EUR,24_C_4_114_20240712141501_0_P.csv,2024-07-12,1
24,20050070820,20050070820,035,4,465,20050070820,3,RBILATT     ,971,LINEA BILANCIATA ATT,FLESSIBILE,954.0,75.263,12.67,2024-06-03,EUR,24_C_4_465_20240712142215_0_P.csv,2024-07-12,1
24,20050104861,20050104861,035,4,465,20050104861,4,            ,129A,,,676.46,676.46,0.0,,EUR,24_C_4_465_20240712142215_0_P.csv,2024-07-12,1
24,20002535230,20002535230,035,4,659,20002535230,3,            ,129A,,,7297.17,7297.17,0.0,,EUR,24_C_4_659_20240712142534_0_P.csv,2024-07-12,1
24,20005523170,20005523170,035,4,130,20005523170,1,            ,,,,47456.35,3037.595,15.623,2020-11-23,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20005534357,20005534357,035,4,130,20005534357,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20050063046,20050063046,035,4,130,20050063046,3,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,1379.0,64.426,21.412,2024-06-25,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20013023408,20013023408,035,4,114,20013023408,3,            ,837,,,1418.8,101.889,13.925,2024-03-18,EUR,24_C_4_114_20240705143554_0_P.csv,2024-07-05,1
24,20005570086,20005570086,035,4,130,20005570086,1,            ,979,,,30403.51,3480.255,8.736,2022-02-14,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20013023408,20013023408,035,4,114,20013023408,2,            ,836,,,683.02,39.072,17.481,2024-03-18,EUR,24_C_4_114_20240705143554_0_P.csv,2024-07-05,1
24,20005523170,20005523170,035,4,130,20005523170,2,            ,,,,2053.29,207.236,9.908,2020-11-23,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20005557967,20005557967,035,4,130,20005557967,1,            ,816,,,30746.27,2109.521,14.575,2023-05-30,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20005557967,20005557967,035,4,130,20005557967,2,            ,976,,,701.16,57.27,12.243,2023-05-30,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20005515733,20005515733,035,4,130,20005515733,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_130_20240705143636_0_P.csv,2024-07-05,1
24,20050004368,20050004368,035,4,130,20050004368,4,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,3103.0,146.919,20.817,2024-06-03,EUR,24_C_4_130_20240628161604_0_P.csv,2024-06-28,1
24,20013014698,20013014698,035,4,130,20013014698,2,            ,802,,,664.5,36.804,18.055,2023-11-18,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20050076289,20050076289,035,4,130,20050076289,3,            ,129A,,,2618.94,2618.94,0.0,,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20050045620,20050045620,035,4,465,20050045620,4,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,2742.0,126.889,21.54,2024-07-08,EUR,24_C_4_465_20240923090214_0_P.csv,2024-09-23,1
24,20050076050,20050076050,035,4,114,20050076050,3,            ,FPRI,,,0.0,2462.565,0.0,,EUR,24_C_4_114_20240923085434_0_P.csv,2024-09-23,1
24,20002533843,20002533843,035,4,130,20002533843,3,            ,FPRI,,,0.0,708.018,0.0,,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20002534193,20002534193,035,4,659,20002534193,3,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,2948.0,138.912,21.223,2024-08-19,EUR,24_C_4_659_20240923090625_0_P.csv,2024-09-23,1
24,20013014984,20013014984,035,4,130,20013014984,1,            ,802,,,4045.8,224.082,18.055,2023-11-18,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20013014984,20013014984,035,4,130,20013014984,2,            ,803,,,11203.49,619.902,18.073,2023-11-18,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20013014984,20013014984,035,4,130,20013014984,3,            ,804,,,19750.59,1394.717,14.161,2023-11-18,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20050096933,20050096933,035,4,130,20050096933,3,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,562.0,26.245,21.396,2024-09-02,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20002534407,20002534407,035,4,465,20002534407,4,            ,FPRI,,,0.0,589.818,0.0,,EUR,24_C_4_465_20240923090214_0_P.csv,2024-09-23,1
24,20013014698,20013014698,035,4,130,20013014698,3,            ,803,,,385.93,21.354,18.073,2023-11-18,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20050038574,20050038574,035,4,130,20050038574,4,RBILATT     ,971,LINEA BILANCIATA ATT,FLESSIBILE,2728.0,211.452,13.04,2024-09-16,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20050051556,20050051556,035,4,130,20050051556,4,RBILATT     ,971,LINEA BILANCIATA ATT,FLESSIBILE,1665.0,128.035,13.002,2024-09-02,EUR,24_C_4_130_20240923085513_0_P.csv,2024-09-23,1
24,20005625728,20005625728,035,4,210,20005625728,1,            ,619,,,4545.91,485.363,9.366,2022-06-27,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002517446,20002517446,035,4,210,20002517446,2,            ,520A,,,5913.67,5913.67,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005623293,20005623293,035,4,210,20005623293,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005536905,20005536905,035,4,210,20005536905,1,            ,,,,10313.81,1037.294,9.943,2020-12-21,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002513500,20002513500,035,4,210,20002513500,2,            ,155A,,,2957.06,2957.06,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005619935,20005619935,035,4,210,20005619935,1,            ,816,,,9790.84,667.815,14.661,2023-03-21,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002509777,20002509777,035,4,210,20002509777,2,ROBBLIGAZ   ,970,LINEA OBBLIGAZIONARI,OBBLIGAZIONARIO,5382.0,385.02,13.937,2024-02-19,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005583070,20005583070,035,4,210,20005583070,2,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005622486,20005622486,035,4,210,20005622486,1,            ,816,,,46298.23,3063.065,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005634894,20005634894,035,4,210,20005634894,1,            ,816,,,5609.54,371.124,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005574046,20005574046,035,4,210,20005574046,1,            ,976,,,14748.07,1118.804,13.182,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013007691,20013007691,035,4,210,20013007691,3,            ,836,,,27023.73,1549.526,17.44,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002514415,20002514415,035,4,210,20002514415,1,RCONTROLLA  ,831,REALE LINEA CONTROLL,,0.0,0.0,9.75,2021-07-05,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002508792,20002508792,035,4,210,20002508792,1,            ,153A,,,16014.89,16014.89,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005637079,20005637079,035,4,210,20005637079,1,            ,816,,,2634.88,174.322,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005596789,20005596789,035,4,210,20005596789,1,            ,816,,,1099.5,72.742,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005625727,20005625727,035,4,210,20005625727,1,            ,619,,,4545.91,485.363,9.366,2022-06-27,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013007691,20013007691,035,4,210,20013007691,1,            ,801,,,37417.15,2614.39,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005612766,20005612766,035,4,210,20005612766,1,            ,976,,,49294.6,3739.539,13.182,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002506138,20002506138,035,4,210,20002506138,1,            ,153A,,,0.0,22238.59,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005619870,20005619870,035,4,210,20005619870,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002516887,20002516887,035,4,210,20002516887,2,ROBBLIGAZ   ,970,LINEA OBBLIGAZIONARI,OBBLIGAZIONARIO,0.0,0.0,13.344,2023-01-09,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013010322,20013010322,035,4,210,20013010322,1,            ,836,,,11347.31,654.854,17.328,2023-12-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013000593,20013000593,035,4,210,20013000593,1,            ,837,,,25196.4,2180.751,11.554,2022-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005629000,20005629000,035,4,210,20005629000,1,            ,816,,,28059.86,1870.408,15.002,2022-12-13,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002515805,20002515805,035,4,210,20002515805,2,ROBBLIGAZ   ,970,LINEA OBBLIGAZIONARI,OBBLIGAZIONARIO,4386.0,313.788,13.937,2024-02-19,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013000714,20013000714,035,4,210,20013000714,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002515804,20002515804,035,4,210,20002515804,2,ROBBLIGAZ   ,970,LINEA OBBLIGAZIONARI,OBBLIGAZIONARIO,5868.0,419.789,13.937,2024-02-19,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013016242,20013016242,035,4,210,20013016242,1,            ,835,,,38071.15,2142.56,17.769,2023-12-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005613439,20005613439,035,4,210,20005613439,2,            ,977,,,3528.88,280.828,12.566,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005624293,20005624293,035,4,210,20005624293,1,            ,,,,24180.4,2440.0,9.91,2020-11-23,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005546655,20005546655,035,4,210,20005546655,1,            ,976,,,24571.15,2086.545,11.776,2023-10-24,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005629269,20005629269,035,4,210,20005629269,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005566253,20005566253,035,4,210,20005566253,3,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013000681,20013000681,035,4,210,20013000681,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013005158,20013005158,035,4,210,20013005158,1,            ,835,,,23278.83,1323.187,17.593,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013004687,20013004687,035,4,210,20013004687,1,            ,801,,,2143.23,149.323,14.353,2023-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005563930,20005563930,035,4,210,20005563930,3,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013010359,20013010359,035,4,210,20013010359,2,            ,835,,,2920.3,163.291,17.884,2023-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005614139,20005614139,035,4,210,20005614139,1,,,,,70854.75,4119.941,17.198,2020-05-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005613429,20005613429,035,4,210,20005613429,1,            ,816,,,45291.05,2996.431,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005579663,20005579663,035,4,210,20005579663,2,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005563930,20005563930,035,4,210,20005563930,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013007661,20013007661,035,4,210,20013007661,1,            ,801,,,11763.99,819.619,14.353,2023-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002801312,20002801312,035,4,210,20002801312,2,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005619153,20005619153,035,4,210,20005619153,2,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002513492,20002513492,035,4,210,20002513492,1,RCONTROLLA  ,831,REALE LINEA CONTROLL,,0.0,0.0,9.049,2022-07-04,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013003809,20013003809,035,4,210,20013003809,1,            ,835,,,17379.42,987.86,17.593,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002519001,20002519001,035,4,210,20002519001,1,            ,520A,,,4173.33,4173.33,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013005165,20013005165,035,4,210,20013005165,1,            ,835,,,25981.68,1452.789,17.884,2023-11-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005624284,20005624284,035,4,210,20005624284,1,            ,619,,,2258.9,241.361,9.359,2022-07-04,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005533756,20005533756,035,4,210,20005533756,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002515805,20002515805,035,4,210,20002515805,1,            ,153A,,,25609.21,25609.209,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005629269,20005629269,035,4,210,20005629269,2,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002516887,20002516887,035,4,210,20002516887,1,            ,151A,,,0.0,-0.009,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002510483,20002510483,035,4,210,20002510483,2,ROBBLIGAZ   ,970,LINEA OBBLIGAZIONARI,OBBLIGAZIONARIO,13418.0,959.942,13.937,2024-02-19,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005628261,20005628261,035,4,210,20005628261,1,            ,816,,,25061.55,1658.058,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005618260,20005618260,035,4,210,20005618260,2,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005525295,20005525295,035,4,210,20005525295,1,            ,,,,13045.64,1051.983,12.401,2020-11-30,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013007664,20013007664,035,4,210,20013007664,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013003809,20013003809,035,4,210,20013003809,2,            ,836,,,40373.83,2315.013,17.44,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002504867,20002504867,035,4,210,20002504867,2,ROBBLIGAZ   ,970,LINEA OBBLIGAZIONARI,OBBLIGAZIONARIO,0.0,0.0,13.518,2022-09-19,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002515708,20002515708,035,4,210,20002515708,2,RCONTROLLA  ,831,REALE LINEA CONTROLL,,0.0,0.0,9.009,2023-06-05,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005603662,20005603662,035,4,210,20005603662,1,            ,816,,,7676.6,519.391,14.78,2023-01-17,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002509861,20002509861,035,4,210,20002509861,2,RBILATT     ,971,LINEA BILANCIATA ATT,FLESSIBILE,9986.0,877.05,11.386,2023-10-30,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002507191,20002507191,035,4,210,20002507191,1,            ,153A,,,20126.26,20126.26,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002508330,20002508330,035,4,210,20002508330,1,            ,153A,,,8151.15,8151.154,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005618688,20005618688,035,4,210,20005618688,1,            ,816,,,12256.72,810.898,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005616539,20005616539,035,4,210,20005616539,1,            ,816,,,11979.48,792.556,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013008767,20013008767,035,4,210,20013008767,1,            ,801,,,34053.76,2379.385,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005622872,20005622872,035,4,210,20005622872,1,            ,816,,,44190.74,2923.635,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013009214,20013009214,035,4,210,20013009214,1,            ,801,,,52867.74,3693.945,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005613152,20005613152,035,4,210,20005613152,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002502597,20002502597,035,4,210,20002502597,1,,151A,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005627472,20005627472,035,4,210,20005627472,1,            ,816,,,46208.78,3057.147,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013007608,20013007608,035,4,210,20013007608,1,            ,801,,,40241.31,2811.718,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
